name,address,postal_code,phone,rating,review_count,cuisine_type,business_hours,website,latitude,longitude,scraped_at
Hardee’s,"705 Leonard Ave, Albemarle, NC 28001, USA",28001,(704) 986-0535,4.0,725.0,Restaurante,"{'day_0': 'Monday: 5:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_1': 'Tuesday: 5:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_2': 'Wednesday: 5:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_3': 'Thursday: 5:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_4': 'Friday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_5': 'Saturday: 5:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_6': 'Sunday: 6:00\u202fAM\u2009–\u20099:00\u202fPM'}",https://locations.hardees.com/nc/albemarle/705-leonard-ave,35.34284299999999,-80.1761629,2025-06-25 14:10:35.662821
Handi Mart,"1554 NC-24, Albemarle, NC 28001, USA",28001,(704) 982-2700,3.9,87.0,Restaurante,"{'day_0': 'Monday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'day_1': 'Tuesday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'day_2': 'Wednesday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'day_3': 'Thursday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'day_4': 'Friday: 6:00\u202fAM\u2009–\u20098:00\u202fPM', 'day_5': 'Saturday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'day_6': 'Sunday: 7:00\u202fAM\u2009–\u20093:00\u202fPM'}",https://stanlycountyhandimart.com/,35.3347566,-80.2265467,2025-06-25 14:10:36.049935
First Street Dinette,"139 N 1st St, Albemarle, NC 28001, USA",28001,(704) 982-7015,4.7,337.0,Restaurante,"{'day_0': 'Monday: 5:00\u2009–\u200911:00\u202fAM', 'day_1': 'Tuesday: 5:00\u2009–\u200911:00\u202fAM', 'day_2': 'Wednesday: 5:00\u2009–\u200911:00\u202fAM', 'day_3': 'Thursday: 5:00\u2009–\u200911:00\u202fAM', 'day_4': 'Friday: 5:00\u2009–\u200911:00\u202fAM', 'day_5': 'Saturday: 5:00\u2009–\u200911:00\u202fAM', 'day_6': 'Sunday: Closed'}",https://www.facebook.com/firststreetdinette/,35.351092,-80.199923,2025-06-25 14:10:36.505413
PizzAntica,"780 Leonard Ave Suite T, Albemarle, NC 28001, USA",28001,(704) 986-4438,4.5,983.0,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM'}",http://pizzanticanc.com/,35.339838,-80.1797378,2025-06-25 14:10:37.102796
Sonic Drive-In,"731 NC-24, Albemarle, NC 28001, USA",28001,(980) 410-0040,3.8,1051.0,Restaurante,"{'day_0': 'Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_1': 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_2': 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_3': 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_4': 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_5': 'Saturday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_6': 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fAM'}",https://www.sonicdrivein.com/locations/us/nc/albemarle/731-nc-highway-24-27-bypass-e/store-1595/?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,35.3450513,-80.17149839999999,2025-06-25 14:10:37.355405
Little Caesars Pizza,"718 Leonard Ave STE H, Albemarle, NC 28001, USA",28001,(704) 550-5983,3.7,442.0,Restaurante,"{'day_0': 'Monday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 10:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 10:30\u202fAM\u2009–\u200911:00\u202fPM', 'day_5': 'Saturday: 10:30\u202fAM\u2009–\u200911:00\u202fPM', 'day_6': 'Sunday: 10:30\u202fAM\u2009–\u200910:00\u202fPM'}",https://littlecaesars.com/en-us/store/11392,35.3419421,-80.17806190000002,2025-06-25 14:10:37.878565
Applebee's Grill + Bar,"517 NC-24, Albemarle, NC 28001, USA",28001,(704) 986-0925,3.9,1361.0,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u200911:00\u202fPM'}",https://restaurants.applebees.com/en-us/nc/albemarle/517-nc-24-27-bypass-east-95069?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=95069&utm_content=website,35.3434623,-80.1783239,2025-06-25 14:10:38.475659
Cook Out,"707 Leonard Ave, Albemarle, NC 28001, USA",28001,(866) 547-0011,4.2,1305.0,Restaurante,"{'day_0': 'Monday: 10:30\u202fAM\u2009–\u20092:00\u202fAM', 'day_1': 'Tuesday: 10:30\u202fAM\u2009–\u20092:00\u202fAM', 'day_2': 'Wednesday: 10:30\u202fAM\u2009–\u20092:00\u202fAM', 'day_3': 'Thursday: 10:30\u202fAM\u2009–\u20092:00\u202fAM', 'day_4': 'Friday: 10:30\u202fAM\u2009–\u20093:00\u202fAM', 'day_5': 'Saturday: 10:30\u202fAM\u2009–\u20093:00\u202fAM', 'day_6': 'Sunday: 10:30\u202fAM\u2009–\u20092:00\u202fAM'}",http://cookout.com/,35.34311570000001,-80.17539049999999,2025-06-25 14:10:38.713669
Dickey's Barbecue Pit,"720 NC-24 #20, Albemarle, NC 28001, USA",28001,(704) 982-2727,4.3,543.0,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM'}",https://order.dickeys.com/order?storeNumber=1603&categoryId=1,35.3437965,-80.1693241,2025-06-25 14:10:39.159729
Ly Cuisine,"807A N 2nd St, Albemarle, NC 28001, USA",28001,(704) 982-1210,4.7,179.0,Restaurante,"{'day_0': 'Monday: Closed', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'day_5': 'Saturday: 4:00\u2009–\u20098:00\u202fPM', 'day_6': 'Sunday: Closed'}",http://www.lycuisine.com/,35.3620644,-80.19785809999999,2025-06-25 14:10:39.555890
