name,address,postal_code,phone,rating,review_count,cuisine_type,business_hours,website,latitude,longitude,scraped_at
The Athenaeum Hotel & Residences,"116 Piccadilly, London W1J 7BJ, UK",SW1A 1AA,020 7499 3464,4.4,1304,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.athenaeumhotel.com/,51.50470439999999,-0.1475848,2025-06-25 14:24:41.051642
"The Clermont London, Victoria","101 Buckingham Palace Rd, London SW1W 0SJ, UK",SW1A 1AA,020 7523 5055,4.2,2720,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.theclermont.co.uk/victoria?utm_source=google&utm_medium=organic&utm_campaign=gmb_website_click,51.495691,-0.1453499,2025-06-25 14:24:41.544982
Premier Inn London Victoria hotel,"Off 55, 82 - 83 Eccleston Square, Gillingham St, Pimlico, London SW1V 1PS, UK",SW1A 1AA,,4.1,1479,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-victoria.html?cid=GLBC_LKEBAR,51.49302309999999,-0.1429586,2025-06-25 14:24:41.960929
"The Royal Horseguards Hotel & One Whitehall Place, London","2 Whitehall Ct, London SW1A 2EJ, UK",SW1A 1AA,020 7523 5062,4.4,2899,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.royalhorseguardshotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_website_click,51.5060478,-0.1241368,2025-06-25 14:24:42.359321
Claridge's,"Brook St, London W1K 4HR, UK",SW1A 1AA,020 7629 8860,4.7,3813,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.claridges.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=local,51.5124212,-0.1478613,2025-06-25 14:24:42.887230
Premier Inn London Leicester Square hotel,"Queens House, 1 Leicester Square, London WC2H 7BP, UK",SW1A 1AA,,4.2,1201,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-leicester-square.html?cid=GLBC_LONLEI,51.5110378,-0.1302996,2025-06-25 14:24:43.403965
"The Clermont London, Charing Cross","Strand, London WC2N 5HX, UK",SW1A 1AA,020 7523 5052,4.5,3191,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.theclermont.co.uk/charing-cross?utm_source=google&utm_medium=organic&utm_campaign=gmb_website_click,51.5084092,-0.124743,2025-06-25 14:24:43.925248
Premier Inn London County Hall hotel,"County Hall, Belvedere Rd, London SE1 7PB, UK",SW1A 1AA,0333 321 1246,4.3,3307,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-county-hall.html?cid=GLBC_LONCOU,51.50249969999999,-0.1180709,2025-06-25 14:24:44.459241
Novotel London Waterloo,"113 Lambeth Rd, London SE1 7LS, UK",SW1A 1AA,020 7660 0674,4.4,3156,Restaurante,,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1785&merchantid=seo-maps-GB-1785&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,51.4946539,-0.1186786,2025-06-25 14:24:44.978460
Covent Garden Hotel,"10 Monmouth St, London WC2H 9HB, UK",SW1A 1AA,020 7806 1000,4.6,729,Restaurante,,https://www.firmdalehotels.com/,51.5145658,-0.1271199,2025-06-25 14:24:45.431310
One Aldwych,"1 Aldwych, London WC2B 4BZ, UK",SW1A 1AA,020 7300 1000,4.6,1456,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.onealdwych.com/?utm_source=mybusiness&utm_medium=organic,51.5117908,-0.11934,2025-06-25 14:24:45.798864
Charlotte Street Hotel,"15-17 Charlotte St., London W1T 1RJ, UK",SW1A 1AA,020 7806 2000,4.4,1281,Restaurante,,https://www.firmdalehotels.com/hotels/london/charlotte-street-hotel,51.5184005,-0.1348734,2025-06-25 14:24:46.214207
The Rembrandt Hotel,"11 Thurloe Pl, South Kensington, London SW7 2RS, UK",SW1A 1AA,020 7589 8100,4.3,2432,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.sarova-rembrandthotel.com/,51.4960608,-0.1704114,2025-06-25 14:24:46.626554
Gem Fitzrovia Hotel,"20-28 Bolsover St, London W1W 5NB, UK",SW1A 1AA,020 7467 7000,4.1,1080,Restaurante,,https://www.gemhotels.com/hotels-london/fitzrovia-hotel,51.5217566,-0.1425275,2025-06-25 14:24:46.926208
Holiday Inn London - Regent's Park by IHG,"Carburton St, London W1W 5EE, UK",SW1A 1AA,0371 942 9111,4.1,2749,Restaurante,,https://www.ihg.com/holidayinn/hotels/gb/en/london/lonrp/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-GB-_-LONRP,51.52251219999999,-0.1428166,2025-06-25 14:24:47.352599
Royal Lancaster London,"Lancaster Terrace, London W2 2TY, UK",SW1A 1AA,020 7551 6000,4.6,3825,Restaurante,,https://www.royallancaster.com/,51.512297,-0.175197,2025-06-25 14:24:47.630844
Holiday Inn London - Bloomsbury by IHG,"Coram St, London WC1N 1HT, UK",SW1A 1AA,0371 942 9222,4.1,3424,Restaurante,,https://www.ihg.com/holidayinn/hotels/gb/en/london/lonbl/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-GB-_-LONBL,51.52397149999999,-0.1250204,2025-06-25 14:24:47.981316
Premier Inn London Blackfriars (Fleet Street) hotel,"1-2 Dorset Rise, London EC4Y 8EN, UK",SW1A 1AA,,4.3,2718,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-blackfriars-fleet-street.html?cid=GLBC_LONBLA,51.512977,-0.1051152,2025-06-25 14:24:48.319370
The Memoir Club (formerly Ambassadors Bloomsbury),"12 Upper Woburn Pl, London WC1H 0HX, UK",SW1A 1AA,020 7693 5400,3.8,1181,Restaurante,,https://www.memoirclublondon.com/?utm_source=google&utm_medium=local&utm_campaign=the-memoir-club,51.5266435,-0.1296986,2025-06-25 14:24:48.695923
Premier Inn London Euston hotel,"1 Duke's Rd, London WC1H 9PJ, UK",SW1A 1AA,,3.9,2539,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-euston.html?cid=GLBC_LONEUS,51.5276088,-0.1292053,2025-06-25 14:24:49.163775
Royal Garden Hotel,"2, 24 Kensington High St, London W8 4PT, UK",SW1A 1AA,020 7937 8000,4.4,2555,Restaurante,,https://www.royalgardenhotel.co.uk/?utm_source=gbp&utm_medium=organic&utm_campaign=rgh,51.5026936,-0.1883821,2025-06-25 14:24:51.643839
Premier Inn London Southwark (Bankside) hotel,"34 Bankside, Park St, London SE1 9EF, UK",SW1A 1AA,020 7089 2580,4.3,566,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-southwark-bankside.html?cid=GLBC_SOUANC,51.5071143,-0.092892,2025-06-25 14:24:51.896421
Premier Inn London Kensington (Earl's Court) hotel,"11 Knaresborough Pl, London SW5 0TJ, UK",SW1A 1AA,0333 321 1268,4.1,1945,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-kensington-earls-court.html?cid=GLBC_LONKEN,51.4936545,-0.1909344,2025-06-25 14:24:52.273733
London Bridge Hotel,"8-18 London Bridge St, London SE1 9SG, UK",SW1A 1AA,020 7855 2200,4.5,1131,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",http://www.londonbridgehotel.com/,51.5051976,-0.0881208,2025-06-25 14:24:52.580084
Premier Inn London Tower Bridge hotel,"159 Tower Bridge Rd, London SE1 3LP, UK",SW1A 1AA,,4.1,2077,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-tower-bridge.html?cid=GLBC_LONTOW,51.4993294,-0.0792754,2025-06-25 14:24:53.157111
Premier Inn London Kings Cross hotel,"26-30 York Wy, London N1 9AA, UK",SW1A 1AA,,4.2,2651,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-kings-cross.html?cid=GLBC_KINPTI,51.5319392,-0.1221961,2025-06-25 14:24:53.623892
ibis London Earls Court,"47 Lillie Rd, London SW6 1UD, UK",SW1A 1AA,020 7610 0880,4.1,7484,Restaurante,,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=5623&merchantid=seo-maps-GB-5623&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,51.48580639999999,-0.1995566,2025-06-25 14:24:54.184493
The Wesley Euston,"81-103 Euston St., London NW1 2EZ, UK",SW1A 1AA,020 7380 0001,3.8,1709,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.thewesley.co.uk/?utm_source=google&utm_medium=local&utm_campaign=gmblisting,51.5266402,-0.135689,2025-06-25 14:24:54.575386
Premier Inn London Waterloo (Westminster Bridge) hotel,"85 York Rd, London SE1 7NJ, UK",SW1A 1AA,,4.1,2233,Restaurante,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-waterloo-westminster-bridge.html?cid=GLBC_LONWAT,51.5018864,-0.1165677,2025-06-25 14:24:55.061785
Mercure London Bridge,"71-79 Southwark St, London SE1 0JA, UK",SW1A 1AA,020 7902 0800,4.4,2045,Restaurante,,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=2814&merchantid=seo-maps-GB-2814&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,51.5053989,-0.0993121,2025-06-25 14:24:55.404544
