name,address,postal_code,phone,rating,review_count,cuisine_type,business_hours,website,latitude,longitude,scraped_at
Kimpton Hotel Eventi,"851 6th Ave, New York, NY 10001, USA",10001,(212) 564-4567,4.4,2224,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.hoteleventi.com/?&cm_mmc=WEB-_-KI-_-AMER-_-EN-_-EV-_-Google%20Business%20Profile-_-DD-_-eventi,40.7470222,-73.9900333,2025-06-25 14:23:39.326838
Park Lane Hotel New York,"36 Central Park S South, New York, NY 10019, USA",10001,(212) 371-4000,4.0,3097,Restaurante,,https://www.parklanenewyork.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,40.7650735,-73.9752633,2025-06-25 14:23:39.706695
Hotel Belleclaire,"2175 Broadway, New York, NY 10024, USA",10001,(212) 362-7700,4.0,1658,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.hotelbelleclaire.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,40.782425,-73.9811603,2025-06-25 14:23:40.238874
The Mark Hotel,"25 E 77th St, New York, NY 10075, USA",10001,(212) 744-4300,4.5,872,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.themarkhotel.com/?utm_source=gmb&utm_medium=organic,40.7752711,-73.9633994,2025-06-25 14:23:40.544017
The Frederick Hotel,"95 W Broadway, New York, NY 10007, USA",10001,(212) 566-1900,4.2,971,Restaurante,"{'day_0': 'Monday: Open 24 hours', 'day_1': 'Tuesday: Open 24 hours', 'day_2': 'Wednesday: Open 24 hours', 'day_3': 'Thursday: Open 24 hours', 'day_4': 'Friday: Open 24 hours', 'day_5': 'Saturday: Open 24 hours', 'day_6': 'Sunday: Open 24 hours'}",https://www.frederickhotelnyc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,40.7156143,-74.00896709999999,2025-06-25 14:23:41.059888
Connolly's,"121 W 45th St, New York, NY 10036, USA",10001,(212) 597-5126,4.4,4736,Restaurante,"{'day_0': 'Monday: 7:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_1': 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_2': 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_3': 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_4': 'Friday: 7:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_5': 'Saturday: 7:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_6': 'Sunday: 8:00\u202fAM\u2009–\u20094:00\u202fAM'}",https://www.connollyspubandrestaurant.com/,40.7573681,-73.9835798,2025-06-25 14:23:41.457951
Artichoke Basille's Pizza,"111 MacDougal St, New York, NY 10012, USA",10001,(646) 609-1011,4.4,1952,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_5': 'Saturday: 11:00\u202fAM\u2009–\u20094:00\u202fAM', 'day_6': 'Sunday: 11:00\u202fAM\u2009–\u20094:00\u202fAM'}",https://www.artichokepizza.com/,40.73,-74.00072779999999,2025-06-25 14:23:41.753012
Chart House,"1700 Harbor Blvd, Weehawken Township, NJ 07086, USA",10001,(201) 348-6628,4.5,7940,Restaurante,"{'day_0': 'Monday: 4:30\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 4:30\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 4:30\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 4:30\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 4:30\u2009–\u200910:30\u202fPM', 'day_5': 'Saturday: 11:30\u202fAM\u2009–\u200910:30\u202fPM', 'day_6': 'Sunday: 11:30\u202fAM\u2009–\u200910:00\u202fPM'}",https://www.chart-house.com/location/chart-house-weehawken-nj/,40.7607,-74.01803509999999,2025-06-25 14:23:42.130369
Magnolia Bakery,"401 Bleecker St, New York, NY 10014, USA",10001,(212) 462-2572,4.3,4691,Restaurante,"{'day_0': 'Monday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 9:30\u202fAM\u2009–\u200911:00\u202fPM', 'day_5': 'Saturday: 9:30\u202fAM\u2009–\u200911:00\u202fPM', 'day_6': 'Sunday: 9:30\u202fAM\u2009–\u200910:00\u202fPM'}",http://www.magnoliabakery.com/,40.73589459999999,-74.00491000000001,2025-06-25 14:23:42.369194
Oohu Szechuan & Canton Cuisines,"128 W 36th St., New York, NY 10018, USA",10001,(212) 575-8899,4.5,1322,Restaurante,"{'day_0': 'Monday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 11:00\u202fAM\u2009–\u200910:30\u202fPM', 'day_5': 'Saturday: 11:30\u202fAM\u2009–\u200910:30\u202fPM', 'day_6': 'Sunday: 11:30\u202fAM\u2009–\u200910:00\u202fPM'}",https://www.oohunyc.com/,40.7514762,-73.9883517,2025-06-25 14:23:42.970745
TAO Uptown,"42 E 58th St, New York, NY 10022, USA",10001,(212) 888-2288,4.2,4159,Restaurante,"{'day_0': 'Monday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'day_4': 'Friday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'day_5': 'Saturday: 4:00\u202fPM\u2009–\u200912:00\u202fAM', 'day_6': 'Sunday: 4:00\u2009–\u200910:00\u202fPM'}",https://taorestaurant.com/,40.7626593,-73.9714411,2025-06-25 14:23:43.232427
Carmine's - Time Square,"200 W 44th St, New York, NY 10036, USA",10001,(212) 221-3800,4.5,17606,Restaurante,"{'day_0': 'Monday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'day_1': 'Tuesday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'day_2': 'Wednesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'day_3': 'Thursday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'day_4': 'Friday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'day_5': 'Saturday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'day_6': 'Sunday: 11:30\u202fAM\u2009–\u200911:00\u202fPM'}",https://www.carminesnyc.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,40.757498,-73.986654,2025-06-25 14:23:43.851068
Bryant Park Grill,"25 W 40th St, New York, NY 10018, USA",10001,(212) 840-6500,4.3,3053,Restaurante,"{'day_0': 'Monday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_1': 'Tuesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_2': 'Wednesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_3': 'Thursday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_4': 'Friday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_5': 'Saturday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'day_6': 'Sunday: 11:30\u202fAM\u2009–\u200910:00\u202fPM'}",https://bryantparkgrillnyc.com/,40.7531999,-73.982957,2025-06-25 14:23:44.086144
YOTEL New York Times Square,"570 Tenth Avenue At, W 42nd St, New York, NY 10036, USA",10001,(646) 449-7700,3.9,8904,Restaurante,,https://www.yotel.com/en/hotels/yotel-new-york?utm_source=Google&utm_medium=Yext_YONYC,40.7591608,-73.9954657,2025-06-25 14:23:44.439022
Grand Central Oyster Bar,"89 E 42nd St, New York, NY 10017, USA",10001,(212) 490-6650,4.2,4341,Restaurante,"{'day_0': 'Monday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'day_1': 'Tuesday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'day_2': 'Wednesday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'day_3': 'Thursday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'day_4': 'Friday: 11:30\u202fAM\u2009–\u20099:30\u202fPM', 'day_5': 'Saturday: Closed', 'day_6': 'Sunday: Closed'}",http://www.oysterbarny.com/,40.7524823,-73.97743109999999,2025-06-25 14:23:45.021674
Shake Shack Madison Square Park,"23rd Street and, Madison Square Park, Madison Ave, New York, NY 10010, USA",10001,(212) 889-6600,4.5,7361,Restaurante,"{'day_0': 'Monday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'day_1': 'Tuesday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'day_2': 'Wednesday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'day_3': 'Thursday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'day_4': 'Friday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'day_5': 'Saturday: 10:30\u202fAM\u2009–\u200911:30\u202fPM', 'day_6': 'Sunday: 10:30\u202fAM\u2009–\u200911:30\u202fPM'}",https://www.shakeshack.com/location/madison-square-park-ny?utm_source=google&utm_medium=listing,40.741518,-73.9881734,2025-06-25 14:23:45.412831
